diff,k,init,lr,topk1,topkall
easy,-0.3,c0.01,1e-3,0.94,0.944
easy,-0.3,c0.01,3e-4,0.9405,0.945
easy,-0.3,c0.01,5e-4,0.9075,0.9225
easy,-0.3,c0.02,3e-4,0.931,0.937
easy,-0.3,c0.04,3e-4,0.9355,0.94
easy,-0.3,random,3e-4,0.928,0.9325
easy,-0.5,c0.01,1e-3,0.969,0.973
easy,-0.5,c0.01,3e-4,0.9685,0.97
easy,-0.5,c0.01,5e-4,0.965,0.966
easy,-0.5,c0.02,3e-4,0.955,0.956
easy,-0.5,c0.04,3e-4,0.951,0.9565
easy,-0.5,random,3e-4,0.906,0.914
easy,-0.7,c0.01,1e-3,0.9545,0.958
easy,-0.7,c0.01,3e-4,0.9185,0.926
easy,-0.7,c0.01,5e-4,0.925,0.9295
easy,-1.0,c0.01,1e-3,0.9065,0.9175
easy,-1.0,c0.01,3e-4,0.935,0.935
easy,-1.0,c0.01,5e-4,0.9465,0.9535
easy,-1.0,c0.02,3e-4,0.941,0.942
easy,-1.0,c0.04,3e-4,0.9445,0.9475
easy,-1.0,random,3e-4,0.939,0.945
easy,-1.5,c0.01,3e-4,0.894,0.903
hard,-0.3,c0.01,1e-3,0.368,0.4205
hard,-0.3,c0.01,3e-4,0.2545,0.257
hard,-0.3,c0.01,5e-4,0.4135,0.4105
hard,-0.3,c0.02,3e-4,0.3835,0.4165
hard,-0.3,c0.04,3e-4,0.325,0.353
hard,-0.3,random,3e-4,0.3835,0.4005
hard,-0.5,c0.01,1e-3,0.294,0.2985
hard,-0.5,c0.01,3e-4,0.2865,0.307
hard,-0.5,c0.01,5e-4,0.437,0.465
hard,-0.5,c0.02,3e-4,0.438,0.463
hard,-0.5,c0.04,3e-4,0.2895,0.338
hard,-0.5,random,3e-4,0.4345,0.4275
hard,-0.7,c0.01,1e-3,0.4635,0.48
hard,-0.7,c0.01,3e-4,0.331,0.3535
hard,-0.7,c0.01,5e-4,0.4375,0.462
hard,-1.0,c0.01,1e-3,0.2575,0.294
hard,-1.0,c0.01,3e-4,0.218,0.245
hard,-1.0,c0.01,5e-4,0.4635,0.4805
hard,-1.0,c0.02,3e-4,0.286,0.2895
hard,-1.0,c0.04,3e-4,0.372,0.402
hard,-1.0,random,3e-4,0.274,0.312
hard,-1.5,c0.01,3e-4,0.2135,0.2515
medium,-0.3,c0.01,1e-3,0.7745,0.781
medium,-0.3,c0.01,3e-4,0.86,0.8695
medium,-0.3,c0.01,5e-4,0.846,0.86
medium,-0.3,c0.02,5e-4,0.79,0.8195
medium,-0.3,c0.04,5e-4,0.761,0.787
medium,-0.3,random,5e-4,0.741,0.7715
medium,-0.5,c0.01,1e-3,0.792,0.8215
medium,-0.5,c0.01,3e-4,0.8355,0.8425
medium,-0.5,c0.01,5e-4,0.801,0.8215
medium,-0.5,c0.02,5e-4,0.781,0.802
medium,-0.5,c0.04,5e-4,0.7575,0.7725
medium,-0.5,random,5e-4,0.771,0.7915
medium,-0.7,c0.01,1e-3,0.722,0.746
medium,-0.7,c0.01,3e-4,0.772,0.7715
medium,-0.7,c0.01,5e-4,0.7075,0.7245
medium,-1.0,c0.01,1e-3,0.5485,0.579
medium,-1.0,c0.01,3e-4,0.787,0.8055
medium,-1.0,c0.01,5e-4,0.6245,0.636
medium,-1.0,c0.02,5e-4,0.7175,0.7345
medium,-1.0,c0.04,5e-4,0.696,0.714
medium,-1.0,random,5e-4,0.718,0.728
medium,-1.5,c0.01,3e-4,0.7315,0.746
