model,top_k_velocity,noise_removal,steps,genppl,entropy,avg_nfe
hflm,1,ancestral,32,47.74241256713867,4.811830520629883,32.0
hflm,1,ancestral,64,47.76353073120117,4.86196756362915,64.0
hflm,1,ancestral,128,47.52798080444336,4.886521816253662,128.0
hflm,1,ancestral,256,48.909244537353516,4.901856422424316,256.0
hflm,1,ancestral,512,48.65384292602539,4.897292137145996,512.0
hflm,1,ancestral,1024,49.650081634521484,4.9094343185424805,1024.0
hflm,1,greedy,32,47.56329345703125,4.817203998565674,32.0
hflm,1,greedy,64,48.1372184753418,4.873066425323486,64.0
hflm,1,greedy,128,48.82452392578125,4.892359733581543,128.0
hflm,1,greedy,256,49.62077713012695,4.90266227722168,256.0
hflm,1,greedy,512,48.64641189575195,4.904034614562988,512.0
hflm,1,greedy,1024,48.56906509399414,4.901530742645264,1024.0
sfm,-1,ancestral,32,210.00418090820312,5.465928554534912,32.0
sfm,-1,ancestral,64,88.67430114746094,5.2431745529174805,64.0
sfm,-1,ancestral,128,60.00990676879883,5.1473259925842285,128.0
sfm,-1,ancestral,256,47.87722396850586,5.094785690307617,256.0
sfm,-1,ancestral,512,43.42628860473633,5.071010589599609,512.0
sfm,-1,greedy,32,223.6783905029297,5.484425067901611,32.0
sfm,-1,greedy,64,92.4648666381836,5.2654709815979,64.0
sfm,-1,greedy,128,60.407474517822266,5.163875579833984,128.0
sfm,-1,greedy,256,47.88237762451172,5.102473258972168,256.0
sfm,-1,greedy,512,42.71897506713867,5.077426910400391,512.0
sfm,1,ancestral,32,104.11186218261719,3.369450569152832,32.0
sfm,1,ancestral,64,81.48226928710938,3.768261432647705,64.0
sfm,1,ancestral,128,61.911956787109375,4.016629695892334,128.0
sfm,1,ancestral,256,52.42417907714844,4.112152576446533,256.0
sfm,1,ancestral,512,47.39741516113281,4.1502203941345215,512.0
sfm,1,ancestral,1024,44.792335510253906,4.17228889465332,1024.0
sfm,1,greedy,32,103.44711303710938,3.3951897621154785,32.0
sfm,1,greedy,64,79.69217681884766,3.8168230056762695,64.0
sfm,1,greedy,128,59.9649658203125,4.068273067474365,128.0
sfm,1,greedy,256,50.4277458190918,4.164391040802002,256.0
sfm,1,greedy,512,46.04916000366211,4.205082893371582,512.0
sfm,1,greedy,1024,43.328670501708984,4.2305707931518555,1024.0
sfm_adaptive,-1,ancestral,32,24.186233520507812,5.069091320037842,32.0
sfm_adaptive,-1,ancestral,64,21.87421989440918,5.050097465515137,64.0
sfm_adaptive,-1,ancestral,128,20.935373306274414,5.038144588470459,128.0
sfm_adaptive,-1,ancestral,256,20.409574508666992,5.031798839569092,256.0
sfm_adaptive,-1,greedy,32,22.632726669311523,5.06085729598999,32.0
sfm_adaptive,-1,greedy,64,20.915721893310547,5.046223163604736,64.0
sfm_adaptive,-1,greedy,128,20.430444717407227,5.045205116271973,128.0
sfm_adaptive,-1,greedy,256,19.826862335205078,5.040127754211426,256.0
sfm_adaptive,1,ancestral,32,9.25763988494873,4.238829135894775,32.0
sfm_adaptive,1,ancestral,64,8.91130542755127,4.248456001281738,64.0
sfm_adaptive,1,ancestral,128,8.713668823242188,4.251006126403809,128.0
sfm_adaptive,1,ancestral,256,8.630352973937988,4.25336217880249,256.0
sfm_adaptive,1,ancestral,512,8.542716979980469,4.252774238586426,512.0
sfm_adaptive,1,ancestral,1024,8.548311233520508,4.253928184509277,1024.0
sfm_adaptive,1,greedy,32,8.964874267578125,4.200087547302246,32.0
sfm_adaptive,1,greedy,64,8.656962394714355,4.210540771484375,64.0
sfm_adaptive,1,greedy,128,8.55494213104248,4.22350549697876,128.0
sfm_adaptive,1,greedy,256,8.49417781829834,4.229135036468506,256.0
sfm_adaptive,1,greedy,512,8.44804859161377,4.232295036315918,512.0
sfm_adaptive,1,greedy,1024,8.409259796142578,4.228743553161621,1024.0
